,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
52,2004001450,40.6575,-79.9348,WILLIAM FLYNN HW,0,1.0,3.0,5.0,2004,1,8.0,2004-1,True
78,2004001785,40.4523,-80.2415,MAIN ST,1,1.0,3.0,5.0,2004,1,9.0,2004-1,True
93,2004001929,40.3948,-80.1687,THOMS RUN RD,0,1.0,3.0,5.0,2004,2,14.0,2004-1,True
104,2004001998,40.3863,-80.0841,GREENTREE RD,0,3.0,3.0,6.0,2004,2,19.0,2004-1,False
105,2004002015,40.3563,-80.0955,MCLAUGHLIN RUN RD,1,1.0,3.0,4.0,2004,2,12.0,2004-1,True
129,2004002266,40.5912,-79.8288,LITTLE DEER CREEK RD,0,1.0,3.0,4.0,2004,3,9.0,2004-2,True
143,2004002375,40.528,-80.2449,FLAUGHERTY RUN RD,1,2.0,3.0,6.0,2004,5,19.0,2004-2,False
149,2004002416,40.6218,-79.9263,TURNER RD,0,2.0,3.0,5.0,2004,6,4.0,2004-2,False
212,2004003033,40.5773,-79.9698,SAMPLE RD,1,3.0,3.0,6.0,2004,4,99.0,2004-1,False
267,2004003683,40.493,-80.0461,BRIGHTON RD,0,1.0,3.0,6.0,2004,3,7.0,2004-3,True
270,2004003699,40.5093,-79.9406,KITTANNING ST,0,1.0,3.0,5.0,2004,3,99.0,2004-3,True
291,2004003966,40.5405,-80.2188,FLAUGHERTY RUN RD,1,1.0,3.0,4.0,2004,3,10.0,2004-3,True
297,2004004028,40.3929,-80.0667,GREENTREE RD,0,1.0,3.0,5.0,2004,3,11.0,2004-3,True
436,2004006868,40.4402,-80.0529,NORWALK ST,0,1.0,3.0,5.0,2004,6,7.0,2004-2,True
496,2004013427,40.4519,-80.1719,AIRPORT PY,1,1.0,3.0,3.0,2004,2,12.0,2004-1,True
543,2004015979,40.5151,-80.1339,RAYMOND P SHAFER HW,0,3.0,3.0,4.0,2004,4,21.0,2004-1,False
631,2004017793,40.4517,-79.8438,BEULAH RD,1,3.0,3.0,1.0,2004,3,22.0,2004-4,False
802,2004021410,40.4227,-79.8835,MILLIGAN AV,1,3.0,3.0,3.0,2004,5,22.0,2004-1,False
828,2004022629,40.5885,-79.8838,PA TURNPIKE HW,1,2.0,3.0,6.0,2004,6,4.0,2004-2,False
1971,2004091894,40.5156,-79.8335,WASHINGTON BL,1,3.0,3.0,4.0,2004,1,4.0,2004-1,False
2041,2004092153,40.3931,-79.9911,PARKFIELO ST,0,3.0,3.0,5.0,2004,7,17.0,2004-1,False
2071,2004092490,40.4723,-79.8324,LIME HOLLOW RD,1,1.0,3.0,5.0,2004,3,11.0,2004-3,True
2073,2004092492,40.4994,-79.8375,VERONA RD,0,1.0,3.0,5.0,2004,3,8.0,2004-3,True
2105,2004093022,40.4765,-79.759,PIERSON RUN RD,0,2.0,3.0,5.0,2004,6,0.0,2004-1,False
2118,2004093059,40.6552,-79.8917,BAKERSTOWN RD,0,1.0,3.0,3.0,2004,3,10.0,2004-3,True
2127,2004093068,40.6526,-79.9083,BAKERSTOWN RD,0,2.0,3.0,6.0,2004,1,1.0,2004-1,False
2224,2004094647,40.5189,-79.9292,DORSEYVILLE DR,1,1.0,3.0,3.0,2004,3,12.0,2004-2,True
2257,2004094741,40.5773,-79.9542,WILLIAM FLYNN HW,1,1.0,3.0,3.0,2004,2,10.0,2004-1,True
2331,2004095909,40.4142,-79.8494,YOST BL,0,3.0,3.0,5.0,2004,3,0.0,2004-2,False
2344,2004096200,40.6323,-79.7311,ALLEGHENY VALLEY EX,0,2.0,3.0,5.0,2004,1,6.0,2004-1,False
2415,2004097537,40.4724,-79.9418,MOSSFIELD ST,0,2.0,3.0,5.0,2004,5,18.0,2004-2,False
2429,2004097606,40.3258,-80.122,MORNINGWIND CR,0,3.0,3.0,4.0,2004,1,2.0,2004-1,False
2496,2004098057,40.5853,-80.1009,RAYMOND P SHAFER HW,0,1.0,3.0,6.0,2004,3,11.0,2004-3,True
2704,2004101676,40.3995,-80.0208,PIONEER AV,0,1.0,3.0,1.0,2004,3,11.0,2004-3,True
2808,2004200330,40.3353,-80.0513,BETHEL CHURCH RD,1,3.0,3.0,6.0,2004,5,20.0,2004-2,False
2823,2004200879,40.401,-80.0346,ORDINANCE AV,0,3.0,3.0,5.0,2004,2,23.0,2004-2,False
2829,2004200982,40.388,-79.9051,MILLER AV,0,3.0,3.0,5.0,2004,1,4.0,2004-1,False
2908,2004203522,40.3746,-80.0083,WABASH AV,0,1.0,3.0,5.0,2004,1,7.0,2004-1,True
2911,2004203628,40.31,-79.8912,CARNEGIE AV,0,1.0,3.0,3.0,2004,2,9.0,2004-1,True
2938,2004204759,40.5043,-80.0827,SR 0065 SH,1,1.0,3.0,5.0,2004,3,11.0,2004-3,True
2964,2004205905,40.5505,-80.0194,SR 4003 SH,0,3.0,3.0,6.0,2004,5,21.0,2004-2,False
3022,2004207816,40.562,-80.1064,SR 4049 SH,0,1.0,3.0,3.0,2004,2,11.0,2004-1,True
3432,2005000160,40.4402,-79.9606,FIFTH AV,1,1.0,3.0,1.0,2004,3,9.0,2004-1,True
3474,2005000540,40.4787,-79.8098,STOTLER RD,0,1.0,3.0,6.0,2004,3,12.0,2004-3,True
3511,2005001105,40.5672,-80.0165,DUNCAN AV,0,1.0,3.0,1.0,2004,3,9.0,2004-1,True
3648,2005004735,40.4727,-79.9359,MOSSFIELD ST,1,3.0,3.0,5.0,2004,5,18.0,2004-2,False
3666,2005004850,40.4204,-80.0493,PENN LINCOLN PY,0,1.0,3.0,5.0,2004,3,11.0,2004-3,True
3723,2005005874,40.4923,-80.2738,AIRPORT PY,0,1.0,3.0,5.0,2004,3,7.0,2004-3,True
3780,2005007357,40.5844,-79.8739,PA TURNPIKE RD,1,1.0,3.0,5.0,2004,2,13.0,2004-1,True
3828,2005008201,40.5928,-80.0964,RAYMOND P SHAFER HW,0,1.0,3.0,6.0,2004,3,8.0,2004-3,True
3855,2005008533,40.4393,-80.2375,SR 0022 HW,0,1.0,3.0,4.0,2004,3,14.0,2004-3,True
3861,2005008541,40.4393,-80.2375,SR 0022 HW,0,1.0,3.0,4.0,2004,3,14.0,2004-3,True
4223,2005015405,40.5925,-80.056,PINE CREEK RD,0,1.0,3.0,6.0,2004,3,13.0,2004-3,True
4331,2005017883,40.5001,-80.222,BUSINESS 60 DR,0,3.0,3.0,4.0,2004,2,6.0,2004-1,False
4349,2005017956,40.3726,-79.9167,GLENHURST RD,0,1.0,3.0,5.0,2004,1,11.0,2004-1,True
4350,2005017957,40.4124,-79.9404,HAZELWOOD AV,0,1.0,3.0,5.0,2004,1,11.0,2004-1,True
4467,2005020018,40.4715,-79.8982,LEMINGTON AV,0,1.0,3.0,1.0,2004,2,15.0,2004-1,True
5333,2005035934,40.5256,-80.2723,AIRPORT PY,0,1.0,3.0,5.0,2004,3,8.0,2004-3,True
5506,2005039312,40.4853,-80.0095,EAST ST,0,1.0,3.0,3.0,2004,2,9.0,2004-1,True
5544,2005040459,40.5122,-80.2068,SHARON RD,1,1.0,3.0,4.0,2004,2,13.0,2004-1,True
5557,2005040572,40.4353,-79.9639,OPHELIA ST,0,1.0,3.0,6.0,2004,2,9.0,2004-1,True
5584,2005040683,40.2057,-79.8872,SUNNYSIDE HOLLOW RD,0,3.0,3.0,5.0,2004,1,1.0,2004-1,False
5719,2005045059,40.4311,-79.9592,BATES ST,1,3.0,3.0,4.0,2004,7,23.0,2004-1,False
5810,2005047202,40.4631,-79.9057,WASHINGTON BL,0,1.0,3.0,4.0,2004,2,13.0,2004-1,True
5834,2005047400,40.4424,-79.8208,PENN LINCOLN PY,0,3.0,3.0,1.0,2004,5,20.0,2004-2,False
5853,2005047907,40.3741,-80.104,RAYMOND P SHAFER HW,1,3.0,3.0,4.0,2004,1,3.0,2004-1,False
5864,2005047951,40.4592,-79.7178,MALABAR DR,0,2.0,3.0,5.0,2004,1,3.0,2004-1,False
5944,2005049792,40.5969,-79.9821,HARDT RD,0,1.0,3.0,5.0,2004,3,11.0,2004-3,True
6173,2005055315,40.5561,-80.1158,RAYMOND P SHAFER HW,1,1.0,3.0,6.0,2004,3,10.0,2004-3,True
6198,2005056200,40.5971,-80.041,RINAMAN RD,0,1.0,3.0,5.0,2004,2,13.0,2004-1,True
6350,2005058652,40.4234,-80.1063,RAYMOND P SHAFER HW,0,3.0,3.0,4.0,2004,7,23.0,2004-1,False
6809,2005074156,40.4659,-79.9077,WASHINGTON BL,1,3.0,3.0,6.0,2004,3,6.0,2004-2,False
6853,2005074278,40.4554,-79.9656,RIDGEWAY ST,1,1.0,3.0,5.0,2004,3,9.0,2004-2,True
6901,2005074763,40.4029,-80.1701,NOBLESTOWN RD,0,3.0,3.0,6.0,2004,3,6.0,2004-2,False
6902,2005074764,40.4191,-80.2104,BATEMAN RD,0,2.0,3.0,5.0,2004,3,20.0,2004-2,False
7351,2005091387,40.4342,-79.8687,PENN LINCOLN PY,0,3.0,3.0,6.0,2004,1,19.0,2004-12,False
7514,2005096428,40.3666,-79.9843,SAW MILL RUN BL,1,1.0,3.0,1.0,2004,1,9.0,2004-12,True
7527,2005096701,40.4402,-80.0355,MAIN ST,0,3.0,3.0,1.0,2004,5,0.0,2004-3,False
8313,2005058722,40.34479904,-79.79579926,JACKS RUN RD,1,1.0,3.0,1.0,2005,2,16.0,2005-2,True
8895,2005088086,40.56639862,-79.93509674,HARTS RUN RD,0,3.0,3.0,5.0,2005,1,18.0,2005-2,False
8896,2005088087,40.55279922,-79.91600037,HARTS RUN RD,0,2.0,3.0,5.0,2005,1,21.0,2005-2,False
9310,2005106137,40.62799835,-79.73680115,ALLEGHENY VALLEY EX,0,3.0,3.0,5.0,2005,1,23.0,2005-2,False
13255,2005200309,40.37929916,-79.85350037,SR 0837 SH,0,3.0,3.0,5.0,2005,4,19.0,2005-1,False
13338,2005203643,40.38389969,-79.85959625,SR 0837 SH,0,3.0,3.0,1.0,2005,1,2.0,2005-4,False
13382,2005205354,40.34999847,-80.0161972,SR 3009 SH,0,3.0,3.0,1.0,2005,2,0.0,2005-4,False
13660,2005212193,40.33160019,-79.93630219,SR 2032 SH,1,3.0,3.0,5.0,2005,6,5.0,2005-12,False
14483,2005414279,40.39250183,-80.02839661,DORCHESTER AV,0,3.0,3.0,5.0,2005,5,19.0,2005-11,False
14588,2005416821,40.56890106,-80.17150116,LITTLE SEWICKLEY CREEK RD,0,1.0,3.0,5.0,2005,5,9.0,2005-12,True
14589,2005416827,40.4382019,-79.97589874,5TH AV,0,1.0,3.0,1.0,2005,5,8.0,2005-12,True
14592,2005416903,40.6332016,-79.95230103,GIBSONIA RD,0,1.0,3.0,5.0,2005,5,14.0,2005-12,True
14644,2005417696,40.40230179,-80.06729889,WISE RD,0,3.0,3.0,6.0,2005,5,19.0,2005-12,False
14659,2005417719,40.46110153,-79.98290253,EAST OHIO ST,1,3.0,3.0,5.0,2005,1,1.0,2005-12,False
14711,2005418294,40.38650131,-80.04709625,BOWER HILL RD,1,3.0,3.0,4.0,2005,1,4.0,2005-12,False
14734,2005418696,40.62519836,-80.09929657,STATE GAMELANDS RD,1,1.0,3.0,5.0,2005,5,10.0,2005-12,True
14957,2005421969,40.32479858,-79.98829651,BROWNSVILLE RD,1,1.0,3.0,5.0,2005,6,8.0,2005-12,True
15030,2006000332,40.44369888,-80.0440979,BERDELLA ST,0,1.0,3.0,5.0,2005,5,8.0,2005-12,True
15071,2006001403,40.47050095,-79.82769775,LIME HOLLOW RD,0,1.0,3.0,6.0,2005,5,99.0,2005-12,True
15085,2006001726,40.45410156,-79.75679779,BRUNNER DR,1,1.0,3.0,6.0,2005,5,12.0,2005-12,True
15086,2006001727,40.58190155,-80.0582962,INGOMAR RD,1,1.0,3.0,1.0,2005,5,8.0,2005-12,True
15112,2006002374,40.37580109,-80.08200073,ELATAN DR,1,1.0,3.0,6.0,2005,5,8.0,2005-12,True
15177,2006002588,40.45959854,-80.0306015,OHIO RIVER BL,1,1.0,3.0,4.0,2005,5,7.0,2005-12,True
15274,2006004098,40.49300003,-79.91120148,FREEPORT RD,0,1.0,3.0,1.0,2005,5,12.0,2005-12,True
15275,2006004099,40.51620102,-79.92079926,KIRKWALL DR,0,3.0,3.0,1.0,2005,5,18.0,2005-12,False
15276,2006004100,40.53179932,-79.92250061,SAXONBURG BL,0,2.0,3.0,4.0,2005,5,17.0,2005-12,False
15405,2006011969,40.62590027,-79.98310089,PA TURNPIKE HW,0,1.0,3.0,6.0,2005,5,12.0,2005-12,True
15426,2006013104,40.55410004,-79.8368988,PA TURNPIKE HW,1,1.0,3.0,6.0,2005,5,12.0,2005-12,True
15450,2006014670,40.32089996,-79.83630371,SCENERY DR,0,3.0,3.0,6.0,2005,6,5.0,2005-12,False
15466,2006021277,40.59049988,-79.88880157,PA TURNPIKE HW,0,2.0,3.0,1.0,2005,5,20.0,2005-12,False
15866,2006015207,40.39350128,-80.08760071,WASHINGTON AV,0,2.0,3.0,1.0,2006,3,17.0,2006-1,False
15991,2006017136,40.40530014,-79.99089813,BROWNSVILLE RD,0,3.0,3.0,1.0,2006,5,6.0,2006-1,False
16681,2006026940,40.43590164,-80.01460266,GRANDVIEW AV,0,1.0,3.0,1.0,2006,5,16.0,2006-3,True
21530,2006113167,40.36729813,-80.04049683,MT LEBANON BL,0,1.0,3.0,1.0,2006,7,15.0,2006-10,True
22076,2006122106,40.50469971,-79.76339722,LEECHBURG RD,0,3.0,3.0,1.0,2006,4,21.0,2006-12,False
22675,2006200594,40.41659927,-79.82369995,LARIMER AV,1,3.0,3.0,1.0,2006,3,18.0,2006-1,False
23632,2007006340,40.39149857,-79.81939697,GREENSBURG PI,0,3.0,3.0,5.0,2007,1,17.0,2007-1,False
23634,2007006343,40.36579895,-79.81430054,NAYSMITH RD,1,1.0,3.0,5.0,2007,1,16.0,2007-1,True
23635,2007006354,40.23889923,-79.86560059,HAYDEN BL,0,2.0,3.0,5.0,2007,1,18.0,2007-1,False
23638,2007006362,40.49160004,-80.05950165,SHERIDAN AV,0,3.0,3.0,1.0,2007,1,19.0,2007-1,False
23646,2007006415,40.52099991,-79.90209961,SQUAW RUN RD,1,1.0,3.0,5.0,2007,1,16.0,2007-1,True
23792,2007008728,40.53219986,-79.71330261,GREENSBURG RD,0,1.0,3.0,5.0,2007,1,16.0,2007-1,True
23915,2007010078,40.52939987,-79.9937973,SIEBERT RD,0,3.0,3.0,6.0,2007,3,20.0,2007-1,False
24156,2007015188,40.47380066,-80.06330109,ISLAND AV,0,3.0,3.0,6.0,2007,1,17.0,2007-1,False
24244,2007016086,40.37870026,-79.82810211,MCKEESPORT BL,0,1.0,3.0,4.0,2007,3,15.0,2007-2,True
24246,2007016095,40.39020157,-79.94629669,GLASS RUN RD,0,1.0,3.0,4.0,2007,3,16.0,2007-2,True
24261,2007016214,40.56769943,-79.98629761,WALLACE RD,0,3.0,3.0,5.0,2007,4,2.0,2007-2,False
24264,2007016237,40.42829895,-79.7621994,TILBROOK RD,1,1.0,3.0,3.0,2007,4,7.0,2007-2,True
24268,2007016252,40.27159882,-79.88490295,STATE ROUTE 51 HW,0,3.0,3.0,5.0,2007,3,18.0,2007-2,False
24377,2007017048,40.4571991,-79.93409729,NEGLEY AV,0,3.0,3.0,1.0,2007,6,2.0,2007-1,False
24417,2007017723,40.47330093,-79.81790161,SHENANDOAH DR,1,1.0,3.0,6.0,2007,1,16.0,2007-1,True
24558,2007019273,40.46889877,-80.09799957,MCKEES ROCKS RD,1,1.0,3.0,6.0,2007,1,17.0,2007-2,True
24631,2007020262,40.49599838,-79.93959808,ETNA BP,0,1.0,3.0,5.0,2007,1,13.0,2007-1,True
24648,2007020424,40.44120026,-79.75319672,OLD WILLIAM PENN HW,1,1.0,3.0,5.0,2007,1,6.0,2007-2,True
24653,2007020443,40.62649918,-80.03939819,SALEM HOLLOW RD,0,1.0,3.0,5.0,2007,1,12.0,2007-2,True
24659,2007020549,40.59400177,-79.9720993,WILDWOOD RD,0,1.0,3.0,5.0,2007,1,8.0,2007-2,True
24698,2007021508,40.55569839,-79.81140137,ALLEGHENY VALLEY EX,0,2.0,3.0,5.0,2007,1,16.0,2007-1,False
24875,2007023961,40.40010071,-80.02390289,WEST LIBERTY AV,0,3.0,3.0,4.0,2007,3,17.0,2007-2,False
24893,2007024243,40.40510178,-80.03350067,WENZELL AV,1,1.0,3.0,6.0,2007,1,7.0,2007-2,True
24895,2007024245,40.43799973,-79.91020203,FORBES AV,0,3.0,3.0,5.0,2007,4,0.0,2007-2,False
24900,2007024371,40.44449997,-80.06210327,HODGSON AV,0,3.0,3.0,5.0,2007,3,23.0,2007-2,False
24909,2007024452,40.34909821,-79.87259674,ROMINE AV,0,3.0,3.0,4.0,2007,3,19.0,2007-2,False
24944,2007024976,40.42399979,-79.93280029,GREENFIELD AV,0,1.0,3.0,1.0,2007,5,14.0,2007-2,True
24952,2007024986,40.41949844,-80.00920105,WARRINGTON AV,1,3.0,3.0,5.0,2007,1,3.0,2007-2,False
25068,2007026005,40.4292984,-79.99919891,LIBERTY BR,0,3.0,3.0,5.0,2007,3,21.0,2007-2,False
25102,2007026502,40.44979858,-79.82759857,TULIP RD,1,1.0,3.0,5.0,2007,3,17.0,2007-2,True
25156,2007026898,40.46659851,-80.00009918,EAST ST,0,1.0,3.0,6.0,2007,5,7.0,2007-2,True
25220,2007028080,40.42869949,-79.73059845,NORTHERN PK,0,1.0,3.0,6.0,2007,6,9.0,2007-3,True
25221,2007028087,40.50260162,-79.89710236,GUYASUTA RD,0,1.0,3.0,5.0,2007,6,9.0,2007-3,True
25230,2007028201,40.52140045,-80.27300262,CARGO RD,0,1.0,3.0,5.0,2007,6,10.0,2007-3,True
25252,2007029004,40.51819992,-79.95269775,WILLIAM FLYNN HW,0,1.0,3.0,6.0,2007,6,99.0,2007-3,True
25266,2007029124,40.4776001,-79.96869659,EAST OHIO ST,0,1.0,3.0,1.0,2007,2,99.0,2007-2,True
25271,2007029144,40.51490021,-80.05400085,UNION AV,0,3.0,3.0,5.0,2007,7,23.0,2007-3,False
25330,2007030212,40.59400177,-79.98600006,WILDWOOD RD,0,1.0,3.0,4.0,2007,6,8.0,2007-3,True
25555,2007033725,40.45819855,-80.03450012,COLUMBUS AV,0,1.0,3.0,4.0,2007,6,11.0,2007-3,True
25590,2007033921,40.3423996,-79.96720123,SAW MILL RUN BL,1,1.0,3.0,5.0,2007,6,15.0,2007-3,True
25596,2007033953,40.42739868,-79.9681015,EAST CARSON ST,0,1.0,3.0,1.0,2007,6,7.0,2007-3,True
25782,2007036665,40.65250015,-80.04859924,PA TURNPIKE HW,1,2.0,3.0,5.0,2007,1,5.0,2007-2,False
25794,2007036896,40.38750076,-79.91970062,GATES DR,0,3.0,3.0,5.0,2007,6,21.0,2007-3,False
25819,2007037412,40.44340134,-80.16169739,SR 0022 SH,0,2.0,3.0,1.0,2007,1,3.0,2007-2,False
25971,2007039342,40.44810104,-80.06390381,BERRY ST,0,1.0,3.0,5.0,2007,6,8.0,2007-3,True
26108,2007041811,40.49710083,-79.93630219,RT-28 EX,0,3.0,3.0,5.0,2007,3,22.0,2007-2,False
26137,2007042354,40.48509979,-80.26470184,AIRPORT PY,1,1.0,3.0,5.0,2007,6,9.0,2007-3,True
26245,2007043556,40.49689865,-79.93779755,ETNA BP,0,2.0,3.0,5.0,2007,7,23.0,2007-3,False
26381,2007045690,40.55459976,-79.84249878,PA TURNPIKE HW,0,1.0,3.0,4.0,2007,6,9.0,2007-3,True
26559,2007049169,40.49340057,-80.01049805,NORTH HILLS EX,1,1.0,3.0,6.0,2007,6,8.0,2007-3,True
26750,2007050799,40.49340057,-80.01049805,NORTH HILLS EX,0,1.0,3.0,5.0,2007,6,8.0,2007-3,True
26855,2007051957,40.61439896,-79.97399902,PA TURNPIKE HW,0,2.0,3.0,5.0,2007,5,3.0,2007-4,False
27540,2007061324,40.3567009,-79.93599701,LEBANON RD,0,1.0,3.0,4.0,2007,3,15.0,2007-2,True
28409,2007072724,40.5848999,-80.09929657,NORTH HILLS EX,0,3.0,3.0,6.0,2007,3,21.0,2007-2,False
31511,2007114514,40.50009918,-80.00579834,EVERGREEN RD,0,1.0,3.0,1.0,2007,6,7.0,2007-11,True
31748,2007117118,40.51269913,-79.9611969,WETZEL RD,1,2.0,3.0,5.0,2007,7,99.0,2007-12,False
31749,2007117123,40.65230179,-79.79260254,BAKERSTOWN RD,0,2.0,3.0,6.0,2007,7,22.0,2007-12,False
31750,2007117126,40.54430008,-79.95469666,BURCHFIELD RD,0,3.0,3.0,5.0,2007,7,99.0,2007-12,False
31783,2007117469,40.62179947,-79.92630005,TURNER RD,0,3.0,3.0,6.0,2007,7,21.0,2007-12,False
31817,2007117731,40.38600159,-79.83119965,PORT PERRY RD,1,2.0,3.0,5.0,2007,1,0.0,2007-12,False
31820,2007117768,40.47990036,-80.0440979,OHIO RIVER BL,0,3.0,3.0,6.0,2007,1,0.0,2007-12,False
31831,2007117978,40.4939003,-79.95439911,PARKER ST,0,3.0,3.0,6.0,2007,7,21.0,2007-12,False
31859,2007118276,40.55250168,-80.11750031,MT NEBO RD,0,3.0,3.0,5.0,2007,7,21.0,2007-12,False
31962,2007119094,40.45130157,-79.99659729,EAST OHIO ST,0,3.0,3.0,6.0,2007,7,99.0,2007-12,False
31980,2007119190,40.38850021,-79.9088974,WEST RUN RD,0,3.0,3.0,6.0,2007,7,6.0,2007-12,False
31982,2007119193,40.39609909,-79.90480042,WEST RUN RD,0,3.0,3.0,6.0,2007,7,5.0,2007-12,False
32019,2007119912,40.4618988,-80.17019653,HOOKSTOWN GRADE RD,0,2.0,3.0,5.0,2007,7,6.0,2007-12,False
32153,2007121853,40.39110184,-79.98179626,BECKS RUN RD,1,3.0,3.0,4.0,2007,5,22.0,2007-11,False
32178,2007121973,40.48429871,-80.03579712,BRIGHTON RD,0,3.0,3.0,6.0,2007,5,21.0,2007-11,False
32392,2007124321,40.43040085,-80.00240326,P J MCARDLE RD,0,3.0,3.0,5.0,2007,7,23.0,2007-12,False
32442,2007125036,40.47829819,-79.84020233,SALTSBURG RD,1,3.0,3.0,6.0,2007,7,21.0,2007-12,False
32454,2007125258,40.58620071,-80.03910065,MCKNIGHT RD,1,2.0,3.0,5.0,2007,7,21.0,2007-12,False
32455,2007125259,40.57630157,-80.01429749,BABCOCK BL,0,2.0,3.0,5.0,2007,7,22.0,2007-12,False
32474,2007125382,40.46889877,-80.12619781,CLEVER RD,2,3.0,3.0,5.0,2007,3,0.0,2007-12,False
32579,2007126655,40.32490158,-79.87950134,WASHINGTON BL,0,1.0,3.0,6.0,2007,7,7.0,2007-12,True
32631,2007127548,40.48970032,-80.0184021,PERRYSVILLE AV,0,3.0,3.0,5.0,2007,7,23.0,2007-12,False
32633,2007127687,40.4905014,-80.01889801,PERRYSVILLE AV,1,3.0,3.0,5.0,2007,7,23.0,2007-12,False
32709,2007200329,40.37170029,-79.85340118,GRANT AV,1,1.0,3.0,5.0,2007,2,16.0,2007-1,True
32727,2007200873,40.43870163,-80.15779877,BAYER RD,0,1.0,3.0,5.0,2007,1,8.0,2007-2,True
32943,2007205900,40.50490189,-80.1446991,CORAOPOLIS RD,0,3.0,3.0,5.0,2007,7,21.0,2007-12,False
32996,2008000882,40.44789886,-79.93599701,5TH AV,0,3.0,3.0,6.0,2007,7,23.0,2007-12,False
33001,2008000892,40.4557991,-79.87909698,FRANKSTOWN AV,1,3.0,3.0,4.0,2007,7,4.0,2007-12,False
33048,2008002093,40.3526001,-79.88800049,DUQUESNE AV,0,3.0,3.0,5.0,2007,7,23.0,2007-12,False
33096,2008003801,40.49039841,-80.01860046,BONVUE ST,0,3.0,3.0,5.0,2007,7,21.0,2007-12,False
33164,2008004571,40.45399857,-79.91239929,FIFTH AV,0,3.0,3.0,1.0,2007,7,23.0,2007-12,False
33171,2008004578,40.46490097,-79.9618988,38TH ST,0,3.0,3.0,6.0,2007,7,17.0,2007-12,False
33294,2008008351,40.65859985,-80.09140015,RAYMOND P SHAFER HW,0,3.0,3.0,5.0,2007,7,22.0,2007-12,False
33474,2008013178,40.50719833,-80.03669739,NORTH HILLS EX,1,3.0,3.0,6.0,2007,7,3.0,2007-12,False
33495,2008014106,40.49340057,-80.01049805,NORTH HILLS EX,0,3.0,3.0,5.0,2007,1,2.0,2007-12,False
33585,2008017461,40.43370056,-80.14279938,SR 0022 SH,0,1.0,3.0,1.0,2007,1,10.0,2007-12,True
33703,2008054127,40.50719833,-80.03669739,NORTH HILLS EX,0,3.0,3.0,1.0,2007,7,3.0,2007-12,False
34052,2008010412,40.31790161,-79.90969849,COAL VALLEY RD,0,1.0,3.0,1.0,2008,3,12.0,2008-1,True
34072,2008010638,40.59170151,-79.959198,WILDWOOD RD,0,3.0,3.0,6.0,2008,3,20.0,2008-1,False
34189,2008013330,40.58179855,-80.14790344,FERN HOLLOW RD,0,1.0,3.0,4.0,2008,5,15.0,2008-1,True
34243,2008014957,40.53580093,-79.98750305,SANDY DR,0,3.0,3.0,5.0,2008,2,99.0,2008-1,False
