,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
2041,2004092153,40.3931,-79.9911,PARKFIELO ST,0,3.0,3.0,5.0,2004,7,17.0,2004-1,False
15276,2006004100,40.53179932,-79.92250061,SAXONBURG BL,0,2.0,3.0,4.0,2005,5,17.0,2005-12,False
15866,2006015207,40.39350128,-80.08760071,WASHINGTON AV,0,2.0,3.0,1.0,2006,3,17.0,2006-1,False
23632,2007006340,40.39149857,-79.81939697,GREENSBURG PI,0,3.0,3.0,5.0,2007,1,17.0,2007-1,False
24156,2007015188,40.47380066,-80.06330109,ISLAND AV,0,3.0,3.0,6.0,2007,1,17.0,2007-1,False
24558,2007019273,40.46889877,-80.09799957,MCKEES ROCKS RD,1,1.0,3.0,6.0,2007,1,17.0,2007-2,True
24875,2007023961,40.40010071,-80.02390289,WEST LIBERTY AV,0,3.0,3.0,4.0,2007,3,17.0,2007-2,False
25102,2007026502,40.44979858,-79.82759857,TULIP RD,1,1.0,3.0,5.0,2007,3,17.0,2007-2,True
33171,2008004578,40.46490097,-79.9618988,38TH ST,0,3.0,3.0,6.0,2007,7,17.0,2007-12,False
35077,2008027698,40.50979996,-79.91619873,MAUERS LN,0,2.0,3.0,5.0,2008,6,17.0,2008-2,False
35081,2008027703,40.61780167,-79.86840057,SAXONBURG BL,0,1.0,3.0,4.0,2008,6,17.0,2008-2,True
35107,2008027841,40.63069916,-79.83439636,DEER CREEK VALLEY RD,0,2.0,3.0,5.0,2008,6,17.0,2008-2,False
36087,2008041515,40.5882988,-80.04869843,PINE CREEK RD,0,1.0,3.0,6.0,2008,6,17.0,2008-2,True
42850,2008126738,40.54190063,-79.76129913,LOGANS FERRY RD,1,2.0,3.0,1.0,2008,3,17.0,2008-11,False
45428,2009016294,40.46070099,-79.93240356,NEGIEY AV,1,3.0,3.0,1.0,2009,2,17.0,2009-1,False
54217,2009124550,40.37929916,-79.85350037,DUQUESNE BL,0,2.0,3.0,5.0,2009,7,17.0,2009-12,False
54446,2009126806,40.38420105,-79.86029816,DUQUESNE BL,0,3.0,3.0,5.0,2009,7,17.0,2009-12,False
54757,2009129858,40.46210098,-79.94039917,FRIENDSHIP AV,1,3.0,3.0,1.0,2009,3,17.0,2009-12,False
67110,2011015367,40.51599884,-80.08760071,MEADOW ST,0,1.0,3.0,5.0,2011,4,17.0,2011-1,True
68560,2011033171,40.47859955,-80.04290009,OHIO RIVER BL,0,1.0,3.0,1.0,2011,4,17.0,2011-3,True
79043,2012019032,40.64839935,-80.00910187,BABCOCK BL,0,2.0,3.0,1.0,2012,3,17.0,2012-2,False
88058,2012125232,40.21780014,-79.91239929,RIDGE RD,0,2.0,3.0,1.0,2012,3,17.0,2012-12,False
90556,2013020741,40.49359894,-79.91529846,MAIN ST,0,3.0,3.0,4.0,2013,2,17.0,2013-2,False
99411,2013124681,40.5719986,-80.0318985,CUMBERLAND RD,0,3.0,3.0,1.0,2013,6,17.0,2013-12,False
101709,2014015771,40.38830185,-80.0039978,GLENBURY ST,0,3.0,3.0,5.0,2014,4,17.0,2014-2,False
110825,2014120335,40.46289825,-79.82409668,RODI RD,0,3.0,3.0,1.0,2014,2,17.0,2014-12,False
112512,2015005498,40.45819855,-79.85569763,CRAB HOLLOW RD,1,3.0,3.0,5.0,2015,2,17.0,2015-1,False
114045,2015022872,40.42309952,-79.98750305,BROSVILLE ST,0,1.0,3.0,4.0,2015,7,17.0,2015-2,True
114383,2015026253,40.35979843,-79.81199646,UPPER HECKMAN RD,0,2.0,3.0,4.0,2015,1,17.0,2015-3,False
114385,2015026258,40.42200089,-79.99140167,BROSVILLE ST,1,1.0,3.0,5.0,2015,1,17.0,2015-3,True
154441,2018121557,40.3441,-79.9716,CLAIRTON BL,1,3.0,3.0,1.0,2018,5,17.0,2018-11,False
154494,2019002474,40.5669,-80.0073,PEEBLES RD,1,2.0,3.0,1.0,2019,6,17.0,2019-1,False
154507,2019001356,40.4566,-80.0559,LANDIS ST,1,1.0,3.0,1.0,2019,5,17.0,2019-1,True
154511,2019000828,40.5242,-79.9689,WETZEL RD,1,2.0,3.0,1.0,2019,4,17.0,2019-1,False
154524,2019066776,40.4352,-79.9926,BL OF THE AL,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
154533,2019066777,40.4438,-80.0417,WILNA WY,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
154541,2019066883,40.5333,-79.8472,ALLEGHENY VALLEY EX,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
154563,2019070532,40.5064,-80.1494,ROBERT ST,1,1.0,3.0,1.0,2019,3,17.0,2019-6,True
154590,2019067001,40.402,-80.0006,EDGEBROOK AV,1,1.0,3.0,1.0,2019,6,17.0,2019-6,True
154606,2019067170,40.2713,-79.885,RAMP RD/TO SR 0051 RD,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
154622,2019060914,40.4435,-80.0414,JANEWOOD WY,1,1.0,3.0,1.0,2019,7,17.0,2019-6,True
154624,2019067230,40.3866,-79.8673,KENNYWOOD LT,1,1.0,3.0,1.0,2019,3,17.0,2019-6,True
154631,2019060918,40.428,-79.9351,BEECHWOOD BL,1,1.0,3.0,1.0,2019,7,17.0,2019-6,True
154637,2019070698,40.4256,-79.9809,S 18TH ST,1,1.0,3.0,1.0,2019,5,17.0,2019-7,True
154640,2019067403,40.4731,-79.9723,EAST OHIO ST,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
154653,2019070745,40.3748,-80.0948,MONTGOMERY AV,1,1.0,3.0,1.0,2019,6,17.0,2019-7,True
154660,2019074072,40.3379,-80.0513,FORT COUCH RD,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
154711,2019070800,40.4229,-80.1026,PENN LINCOLN PY,1,1.0,3.0,1.0,2019,5,17.0,2019-6,True
154727,2019070807,40.4235,-80.1063,RAYMOND P SHAFER HW,1,1.0,3.0,1.0,2019,6,17.0,2019-6,True
154731,2019077639,40.4005,-80.1892,PROSPECT AV,1,1.0,3.0,1.0,2019,6,17.0,2019-7,True
154747,2019070811,40.508,-80.1367,RAYMOND P SHAFER HW,1,1.0,3.0,1.0,2019,5,17.0,2019-6,True
154768,2019070819,40.3564,-80.1195,BRIDGEVILLE INT/RAMP C RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
154782,2019077746,40.5174,-80.1641,FIFTH AV,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
154784,2019077781,40.4182,-80.0492,POPLAR ST,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
154785,2019077782,40.3988,-80.0255,WEST LIBERTY AV,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
154828,2019077859,40.3187,-79.9219,CLAIRTON RD,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
154840,2019061325,40.5956,-80.194,BIG SEWICKLEY CREEK RD,1,1.0,3.0,1.0,2019,5,17.0,2019-6,True
154870,2019067870,40.5647,-79.9727,DUNCAN AV,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
154888,2019074179,40.4096,-80.0802,ANTHONY ST,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
154893,2019074257,40.3868,-80.0452,KENMONT AV,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
154903,2019074407,40.5745,-79.822,LITTLE DEER CREEK RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
154914,2019074519,40.5375,-80.0786,NORTH HILLS EX,1,1.0,3.0,1.0,2019,5,17.0,2019-7,True
154924,2019074623,40.5903,-80.1014,NICHOLSON RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
